asset,milestone_year,commission_year,initial_units,initial_storage_units,decommissionable
AT_Battery,2050,2050,1.0,1.0,false
AT_E_Demand,2050,2050,0.0,0.0,false
AT_E_ENS,2050,2050,1.0,0.0,false
AT_Gas,2050,2050,1.0,0.0,false
AT_H_Demand,2050,2050,0.0,0.0,false
AT_Hydro,2050,2050,1.0,0.0,false
AT_Hydro_Reservoir,2050,2050,1.0,1.0,false
AT_Pump_Hydro_Closed,2050,2050,1.0,1.0,false
AT_Pump_Hydro_Open,2050,2050,1.0,1.0,false
AT_Solar,2050,2050,1.0,0.0,false
AT_Wind_Onshore,2050,2050,1.0,0.0,false
AT_electrolyzer,2050,2050,1.0,0.0,false
BE_Battery,2050,2050,1.0,1.0,false
BE_E_Demand,2050,2050,0.0,0.0,false
BE_E_ENS,2050,2050,1.0,0.0,false
BE_Gas,2050,2050,1.0,0.0,false
BE_H_Demand,2050,2050,0.0,0.0,false
BE_Hydro,2050,2050,1.0,0.0,false
BE_OCGT,2050,2050,1.0,0.0,false
BE_Solar,2050,2050,1.0,0.0,false
BE_Wind_Offshore,2050,2050,1.0,0.0,false
BE_Wind_Onshore,2050,2050,1.0,0.0,false
BE_electrolyzer,2050,2050,1.0,0.0,false
BG_Battery,2050,2050,1.0,1.0,false
BG_Coal,2050,2050,1.0,0.0,false
BG_E_Demand,2050,2050,0.0,0.0,false
BG_E_ENS,2050,2050,1.0,0.0,false
BG_Gas,2050,2050,1.0,0.0,false
BG_H_Demand,2050,2050,0.0,0.0,false
BG_Hydro,2050,2050,1.0,0.0,false
BG_Hydro_Reservoir,2050,2050,1.0,1.0,false
BG_Nuclear,2050,2050,1.0,0.0,false
BG_OCGT,2050,2050,1.0,0.0,false
BG_Pump_Hydro_Closed,2050,2050,1.0,1.0,false
BG_Pump_Hydro_Open,2050,2050,1.0,1.0,false
BG_Solar,2050,2050,1.0,0.0,false
BG_Wind_Onshore,2050,2050,1.0,0.0,false
BG_electrolyzer,2050,2050,1.0,0.0,false
CH_Battery,2050,2050,1.0,1.0,false
CH_E_Demand,2050,2050,0.0,0.0,false
CH_E_ENS,2050,2050,1.0,0.0,false
CH_H_Demand,2050,2050,0.0,0.0,false
CH_Hydro,2050,2050,1.0,0.0,false
