asset,type,capacity,capacity_storage_energy,is_seasonal,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,investment_group,investment_integer,investment_integer_storage_energy,investment_method,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
AT_Battery,storage,0.304,0.912,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_E_ENS,producer,18.9402772,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Gas,producer,3.26,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Hydro,producer,8.137,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Hydro_Reservoir,storage,2.489,757.0,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Pump_Hydro_Closed,storage,0.3,1.8,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Pump_Hydro_Open,storage,5.793,1732.6,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Solar,producer,53.129,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_Wind_Onshore,producer,41.145,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
AT_electrolyzer,conversion,5.730593607,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Battery,storage,1.13,3.39,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_E_ENS,producer,23.58292406,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Gas,producer,8.868,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Hydro,producer,0.165,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_OCGT,producer,0.244,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Solar,producer,55.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Wind_Offshore,producer,10.96,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_Wind_Onshore,producer,10.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BE_electrolyzer,conversion,11.11872146,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Battery,storage,4.923,14.769,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Coal,producer,1.004,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_E_ENS,producer,6.7924289,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Gas,producer,2.315,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Hydro,producer,1.817,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Hydro_Reservoir,storage,1.281,843.0,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Nuclear,producer,2.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_OCGT,producer,0.02,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Pump_Hydro_Closed,storage,0.864,9.4,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Pump_Hydro_Open,storage,0.535,255.3,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Solar,producer,9.11,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_Wind_Onshore,producer,9.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
BG_electrolyzer,conversion,1.51826484,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Battery,storage,5.05,15.15,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_E_ENS,producer,12.73508856,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Hydro,producer,13.775,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Nuclear,producer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Pump_Hydro_Closed,storage,2.17,70.0,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Pump_Hydro_Open,storage,10.732,8800.0,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Solar,producer,13.312,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_Wind_Onshore,producer,2.223,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CH_electrolyzer,conversion,3.820526568,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_Battery,storage,3.076,9.228,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_E_ENS,producer,1.269453,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_Gas,producer,0.524,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_Solar,producer,2.273,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_Wind_Onshore,producer,0.4,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CY_electrolyzer,conversion,0.285388128,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Battery,storage,3.61,10.83,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Coal,producer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_E_ENS,producer,12.3551616,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Gas,producer,2.613,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Hydro,producer,0.953,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Hydro_Reservoir,storage,0.698,2.5,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Nuclear,producer,6.983,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Pump_Hydro_Closed,storage,0.688,3.7,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Pump_Hydro_Open,storage,0.47,2.3,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Solar,producer,22.485,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_Wind_Onshore,producer,4.486,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
CZ_electrolyzer,conversion,4.703196347,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Battery,storage,111.097,333.291,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Coal,producer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_E_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_E_ENS,producer,119.0835828,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Gas,producer,33.582,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_H_Demand,consumer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Hydro,producer,4.753,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Hydro_Reservoir,storage,1.297,258.6,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_OCGT,producer,0.0,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Pump_Hydro_Closed,storage,7.382,242.2,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Pump_Hydro_Open,storage,1.644,416.7,true,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Solar,producer,456.389,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Wind_Offshore,producer,70.585,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
DE_Wind_Onshore,producer,191.5,0.0,false,==,0.0,1,0.0,,false,false,none,0.0,0.0,0.0,false,false,1,false,false,,
