asset,year,partition,rep_period,specification
AT_Battery,2050,4,1,uniform
AT_E_Demand,2050,4,1,uniform
AT_E_ENS,2050,4,1,uniform
AT_Gas,2050,4,1,uniform
AT_H_Demand,2050,4,1,uniform
AT_Hydro,2050,4,1,uniform
AT_Hydro_Reservoir,2050,24,1,uniform
AT_Pump_Hydro_Closed,2050,24,1,uniform
AT_Pump_Hydro_Open,2050,24,1,uniform
AT_Solar,2050,4,1,uniform
AT_Wind_Onshore,2050,4,1,uniform
AT_electrolyzer,2050,4,1,uniform
BE_Battery,2050,1,1,uniform
BE_E_Demand,2050,2,1,uniform
BE_E_ENS,2050,2,1,uniform
BE_Gas,2050,2,1,uniform
BE_H_Demand,2050,2,1,uniform
BE_Hydro,2050,2,1,uniform
BE_OCGT,2050,2,1,uniform
BE_Solar,2050,2,1,uniform
BE_Wind_Offshore,2050,2,1,uniform
BE_Wind_Onshore,2050,2,1,uniform
BE_electrolyzer,2050,2,1,uniform
BG_Battery,2050,4,1,uniform
BG_Coal,2050,4,1,uniform
BG_E_Demand,2050,4,1,uniform
BG_E_ENS,2050,4,1,uniform
BG_Gas,2050,4,1,uniform
BG_H_Demand,2050,4,1,uniform
BG_Hydro,2050,4,1,uniform
BG_Hydro_Reservoir,2050,24,1,uniform
BG_Nuclear,2050,4,1,uniform
BG_OCGT,2050,4,1,uniform
BG_Pump_Hydro_Closed,2050,24,1,uniform
BG_Pump_Hydro_Open,2050,24,1,uniform
BG_Solar,2050,4,1,uniform
BG_Wind_Onshore,2050,4,1,uniform
BG_electrolyzer,2050,4,1,uniform
CH_Battery,2050,4,1,uniform
CH_E_Demand,2050,4,1,uniform
CH_E_ENS,2050,4,1,uniform
CH_H_Demand,2050,4,1,uniform
CH_Hydro,2050,4,1,uniform
CH_Nuclear,2050,4,1,uniform
CH_Pump_Hydro_Closed,2050,24,1,uniform
CH_Pump_Hydro_Open,2050,24,1,uniform
CH_Solar,2050,4,1,uniform
CH_Wind_Onshore,2050,4,1,uniform
CH_electrolyzer,2050,4,1,uniform
CY_Battery,2050,4,1,uniform
CY_E_Demand,2050,4,1,uniform
CY_E_ENS,2050,4,1,uniform
CY_Gas,2050,4,1,uniform
CY_H_Demand,2050,4,1,uniform
